TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
28;MINIMAX_T;2;1.992;5;27;15.0;956796; ;
29;MINIMAX_T;1;1.633;5;24;13.0;681313; ;
30;MINIMAX_T;2;1.756;5;27;16.0;696848;EMPATE;
1;MINIMAX_T;2;0.513;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.595;5;20;12.0;251843; ;
3;MINIMAX_T;2;1.01;5;24;13.0;463102; ;
4;MINIMAX_T;1;1.737;5;24;13.0;825619; ;
5;MINIMAX_T;2;2.67;5;23;14.0;1179382; ;
6;MINIMAX_T;1;2.292;5;25;14.0;1020146; ;
7;MINIMAX_T;2;2.514;5;24;15.0;1005561; ;
8;MINIMAX_T;1;1.754;5;24;13.0;717224; ;
9;MINIMAX_T;2;1.549;5;23;15.0;671023; ;
10;MINIMAX_T;1;1.241;5;26;14.0;597653; ;
11;MINIMAX_T;2;1.579;5;23;14.0;732488; ;
12;MINIMAX_T;1;1.54;5;26;14.0;651551; ;
13;MINIMAX_T;2;1.816;5;23;14.0;653235; ;
14;MINIMAX_T;1;1.678;5;25;16.0;721655; ;
15;MINIMAX_T;2;1.494;5;24;14.0;709002; ;
16;MINIMAX_T;1;2.42;5;24;15.0;1077732; ;
17;MINIMAX_T;2;2.209;5;26;15.0;908980; ;
18;MINIMAX_T;1;1.579;5;25;13.0;663947; ;
19;MINIMAX_T;2;1.947;5;26;15.0;750442; ;
20;MINIMAX_T;1;1.038;5;22;13.0;438033; ;
21;MINIMAX_T;2;1.0;5;24;14.0;431684; ;
22;MINIMAX_T;1;0.978;5;24;13.0;470591; ;
23;MINIMAX_T;2;1.612;5;26;15.0;750442; ;
24;MINIMAX_T;1;1.145;5;22;13.0;438033; ;
25;MINIMAX_T;2;0.967;5;24;14.0;431684; ;
26;MINIMAX_T;1;1.095;5;24;13.0;470591; ;
27;MINIMAX_T;2;1.644;5;26;15.0;750442; ;
28;MINIMAX_T;1;1.305;5;22;13.0;438033; ;
29;MINIMAX_T;2;0.97;5;24;14.0;431684; ;
30;MINIMAX_T;1;0.83;5;23;13.0;365907;EMPATE;
1;MINIMAX_T;1;0.43;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.566;5;20;12.0;251843; ;
3;MINIMAX_T;1;0.988;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.352;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.351;5;23;13.0;638760; ;
6;MINIMAX_T;2;3.01;5;24;15.0;1290483; ;
7;MINIMAX_T;1;2.619;5;25;15.0;1232443; ;
8;MINIMAX_T;2;2.267;5;26;14.0;949600; ;
9;MINIMAX_T;1;2.002;5;26;14.0;902630; ;
10;MINIMAX_T;2;2.498;5;26;15.0;1027599; ;
11;MINIMAX_T;1;2.191;5;26;13.0;985374; ;
12;MINIMAX_T;2;2.973;5;26;16.0;1337360; ;
13;MINIMAX_T;1;1.671;5;24;14.0;687776; ;
14;MINIMAX_T;2;1.359;5;24;14.0;575543; ;
15;MINIMAX_T;1;1.03;5;24;14.0;340301; ;
16;MINIMAX_T;2;1.119;5;24;13.0;469867; ;
17;MINIMAX_T;1;1.017;5;27;15.0;482667; ;
18;MINIMAX_T;2;1.104;5;24;12.0;489356; ;
19;MINIMAX_T;1;1.158;5;25;14.0;509023; ;
20;MINIMAX_T;2;0.806;5;22;13.0;367368; ;
21;MINIMAX_T;1;0.765;5;23;13.0;341226; ;
22;MINIMAX_T;2;1.344;5;24;14.0;635577; ;
23;MINIMAX_T;1;2.23;5;26;15.0;910267; ;
24;MINIMAX_T;2;1.766;5;25;13.0;757537; ;
25;MINIMAX_T;1;2.101;5;26;15.0;988402; ;
26;MINIMAX_T;2;2.389;5;24;15.0;1023148; ;
27;MINIMAX_T;1;1.88;5;26;15.0;846770; ;
28;MINIMAX_T;2;1.821;5;23;13.0;617582; ;
29;MINIMAX_T;1;1.126;5;26;14.0;485980; ;
30;MINIMAX_T;2;0.908;5;24;13.0;404945;EMPATE;
1;MINIMAX_T;2;0.446;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.536;5;20;12.0;251843; ;
3;MINIMAX_T;2;0.925;5;24;13.0;463102; ;
4;MINIMAX_T;1;1.749;5;24;13.0;825619; ;
5;MINIMAX_T;2;2.51;5;23;14.0;1179382; ;
6;MINIMAX_T;1;2.688;5;25;14.0;1020146; ;
7;MINIMAX_T;2;2.222;5;24;15.0;1005561; ;
8;MINIMAX_T;1;1.661;5;24;13.0;717224; ;
9;MINIMAX_T;2;1.438;5;23;15.0;671023; ;
10;MINIMAX_T;1;1.243;5;24;13.0;562549; ;
11;MINIMAX_T;2;2.083;5;24;14.0;832741; ;
12;MINIMAX_T;1;1.54;5;24;14.0;663193; ;
13;MINIMAX_T;2;0.92;5;23;14.0;397061; ;
14;MINIMAX_T;1;1.35;5;26;14.0;596155; ;
15;MINIMAX_T;2;1.145;5;23;14.0;498916; ;
16;MINIMAX_T;1;1.386;5;23;13.0;623927; ;
17;MINIMAX_T;2;2.015;5;24;15.0;944724; ;
18;MINIMAX_T;1;1.533;5;26;14.0;596155; ;
19;MINIMAX_T;2;1.266;5;23;14.0;498916; ;
20;MINIMAX_T;1;1.308;5;23;13.0;623927; ;
21;MINIMAX_T;2;2.024;5;24;15.0;944724; ;
22;MINIMAX_T;1;1.445;5;26;14.0;596155; ;
23;MINIMAX_T;2;1.135;5;23;14.0;498916; ;
24;MINIMAX_T;1;1.324;5;23;13.0;623927; ;
25;MINIMAX_T;2;2.341;5;24;15.0;944724; ;
26;MINIMAX_T;1;1.373;5;26;14.0;596155; ;
27;MINIMAX_T;2;1.187;5;23;14.0;498916; ;
28;MINIMAX_T;1;1.407;5;23;13.0;623927; ;
29;MINIMAX_T;2;1.971;5;24;15.0;944724; ;
30;MINIMAX_T;1;1.38;5;26;14.0;596155;EMPATE;
1;MINIMAX_T;1;0.499;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.545;5;20;12.0;251843; ;
3;MINIMAX_T;1;1.106;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.332;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.418;5;23;13.0;638760; ;
6;MINIMAX_T;2;2.653;5;24;15.0;1290483; ;
7;MINIMAX_T;1;2.884;5;25;15.0;1232443; ;
8;MINIMAX_T;2;2.079;5;26;14.0;949600; ;
9;MINIMAX_T;1;2.373;5;26;14.0;902630; ;
10;MINIMAX_T;2;2.256;5;26;15.0;1027599; ;
