TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
13;MINIMAX;2;0.089;4;24;16.0;64950; ;
14;MINIMAX;1;0.048;4;22;11.0;37205; ;
15;MINIMAX;2;0.027;4;21;15.0;20237; ;
16;MINIMAX;1;0.06;4;20;13.0;46676; ;
17;MINIMAX;2;0.051;4;21;15.0;38862; ;
18;MINIMAX;1;0.054;4;23;15.0;40861; ;
19;MINIMAX;2;0.068;4;20;13.0;49949; ;
20;MINIMAX;1;0.047;4;25;16.0;36175; ;
21;MINIMAX;2;0.068;4;22;12.0;51585; ;
22;MINIMAX;1;0.046;4;23;14.0;33350; ;
23;MINIMAX;2;0.039;4;20;13.0;30216; ;
24;MINIMAX;1;0.036;4;18;13.0;26319; ;
25;MINIMAX;2;0.045;4;22;14.0;32869; ;
26;MINIMAX;1;0.039;4;19;13.0;30316; ;
27;MINIMAX;2;0.042;4;20;14.0;32951; ;
28;MINIMAX;1;0.042;4;19;13.0;32500; ;
29;MINIMAX;2;0.043;4;22;14.0;32869; ;
30;MINIMAX;1;0.04;4;19;13.0;30316;EMPATE;
1;MINIMAX;1;0.019;4;16;11.0;13602; ;
2;MINIMAX;2;0.028;4;19;13.0;19638; ;
3;MINIMAX;1;0.044;4;20;14.0;34205; ;
4;MINIMAX;2;0.055;4;21;13.0;42734; ;
5;MINIMAX;1;0.061;4;23;15.0;45274; ;
6;MINIMAX;2;0.091;4;22;16.0;69084; ;
7;MINIMAX;1;0.063;4;21;13.0;47826; ;
8;MINIMAX;2;0.05;4;21;14.0;37036; ;
9;MINIMAX;1;0.039;4;20;12.0;31000; ;
10;MINIMAX;2;0.053;4;23;16.0;40346; ;
11;MINIMAX;1;0.103;4;23;14.0;79361; ;
12;MINIMAX;2;0.11;4;25;16.0;84921; ;
13;MINIMAX;1;0.086;4;22;15.0;68790; ;
14;MINIMAX;2;0.056;4;24;15.0;42988; ;
15;MINIMAX;1;0.049;4;21;13.0;37654; ;
16;MINIMAX;2;0.037;4;19;12.0;21604; ;
17;MINIMAX;1;0.036;4;21;13.0;29674; ;
18;MINIMAX;2;0.046;4;20;14.0;35579; ;
19;MINIMAX;1;0.034;4;19;13.0;25922; ;
20;MINIMAX;2;0.035;4;20;13.0;26232; ;
21;MINIMAX;1;0.044;4;19;13.0;32045; ;
22;MINIMAX;2;0.045;4;23;14.0;35144; ;
23;MINIMAX;1;0.031;4;20;13.0;23913; ;
24;MINIMAX;2;0.026;4;19;12.0;20660; ;
25;MINIMAX;1;0.031;4;23;13.0;22359; ;
26;MINIMAX;2;0.025;4;20;12.0;19427; ;
27;MINIMAX;1;0.03;4;21;13.0;21879; ;
28;MINIMAX;2;0.031;4;21;12.0;23027; ;
29;MINIMAX;1;0.026;4;20;13.0;17207; ;
30;MINIMAX;2;0.022;4;20;12.0;17151;EMPATE;
1;MINIMAX;2;0.018;4;16;11.0;13602; ;
2;MINIMAX;1;0.027;4;19;12.0;19624; ;
3;MINIMAX;2;0.041;4;20;14.0;31692; ;
4;MINIMAX;1;0.073;4;23;15.0;56230; ;
5;MINIMAX;2;0.064;4;22;14.0;49080; ;
6;MINIMAX;1;0.08;4;26;17.0;61744; ;
7;MINIMAX;2;0.076;4;25;12.0;56841; ;
8;MINIMAX;1;0.067;4;27;19.0;51893; ;
9;MINIMAX;2;0.11;4;25;13.0;89073; ;
10;MINIMAX;1;0.08;4;26;17.0;61824; ;
11;MINIMAX;2;0.1;4;25;14.0;76320; ;
12;MINIMAX;1;0.053;4;23;14.0;40906; ;
13;MINIMAX;2;0.042;4;21;13.0;32677; ;
14;MINIMAX;1;0.044;4;25;16.0;34421; ;
15;MINIMAX;2;0.074;4;21;14.0;55538; ;
16;MINIMAX;1;0.068;4;23;15.0;52225; ;
17;MINIMAX;2;0.077;4;23;16.0;62187; ;
18;MINIMAX;1;0.081;4;23;14.0;62807; ;
19;MINIMAX;2;0.069;4;21;14.0;54649; ;
20;MINIMAX;1;0.058;4;21;15.0;44470; ;
21;MINIMAX;2;0.057;4;21;13.0;45195;VITORIA;
1;MINIMAX;1;0.02;4;16;11.0;13602; ;
2;MINIMAX;2;0.025;4;19;13.0;19638; ;
3;MINIMAX;1;0.044;4;20;14.0;34205; ;
4;MINIMAX;2;0.054;4;20;13.0;41096; ;
5;MINIMAX;1;0.062;4;23;16.0;46937; ;
6;MINIMAX;2;0.109;4;23;15.0;84630; ;
7;MINIMAX;1;0.104;4;24;14.0;79159; ;
8;MINIMAX;2;0.081;4;24;16.0;64675; ;
