PARTIDA;TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; BFACTOR; TOTAL_NODES;MAX BRANCH;MAX BOARD;RESULTADO;
6;2;MCTS;2;0.805;7;19.0;8459;23;02000	00000	00100	00000	00000	; ;
6;3;MINIMAX_T;1;4.015;5;19.0;2091504;22;00010	02000	00100	00000	00000	; ;
6;4;MCTS;2;4.026;10;13.0;303623;22;00000	02000	00110	00000	00000	; ;
6;5;MINIMAX_T;1;4.768;5;17.0;2569510;21;00000	02000	02110	00000	00000	; ;
6;6;MCTS;2;4.769;10;11.0;415477;20;00000	02000	02110	01000	00000	; ;
6;7;MINIMAX_T;1;3.064;5;15.0;1486344;19;00000	02020	02110	01000	00000	; ;
6;8;MCTS;2;3.08;12;7.0;256057;18;00000	12020	02110	01000	00000	; ;
6;9;MINIMAX_T;1;1.01;5;13.0;804050;17;00200	12020	02110	01000	00000	; ;
6;10;MCTS;2;1.024;12;5.0;87785;16;00200	12020	02110	01100	00000	; ;
6;11;MINIMAX_T;1;0.532;5;11.0;396076;15;00200	12020	02110	21100	00000	; ;
6;12;MCTS;2;0.535;10;5.0;73017;14;00200	12120	02110	21100	00000	; ;
6;13;MINIMAX_T;1;0.27;5;9.0;171506;13;20200	12120	02110	21100	00000	; ;
6;14;MCTS;2;0.277;8;5.0;35911;12;20200	12120	02110	21101	00000	; ;
6;15;MINIMAX_T;1;0.082;5;7.0;53582;11;22200	12120	02110	21101	00000	; ;
6;16;MCTS;2;0.138;4;7.0;5238;10;22210	12120	02110	21101	00000	; ;
6;17;MINIMAX_T;1;0.04;5;5.0;18730;9;22210	12120	02110	21101	02000	; ;
6;18;MCTS;2;0.041;5;4.0;2477;8;22210	12121	02110	21101	02000	; ;
6;19;MINIMAX_T;1;0.008;5;3.0;3620;7;22210	12121	02110	21101	22000	; ;
6;20;MCTS;2;0.009;5;2.0;958;6;22210	12121	02110	21101	22100	; ;
6;21;MINIMAX_T;1;0.001;5;1.0;326;5;22210	12121	22110	21101	22100	; ;
6;22;MCTS;2;0.002;4;1.0;65;4;22210	12121	22110	21101	22110	; ;
6;23;MINIMAX_T;1;0.0;5;1.0;16;3;22212	12121	22110	21101	22110	; ;
6;24;MCTS;2;0.001;2;1.0;5;2;22212	12121	22110	21111	22110	; ;
6;25;MINIMAX_T;1;0.0;5;1.0;2;1;22212	12121	22112	21111	22110	;EMPATE;
7;1;MCTS;2;0.001;1;3.0;3;14;00000	02000	00000	00000	00000	; ;
7;2;MINIMAX_T;1;4.209;5;19.0;2629442;23;00000	02000	00001	00000	00000	; ;
7;3;MCTS;2;4.216;10;14.0;323449;22;00002	02000	00100	00000	00000	; ;
7;4;MINIMAX_T;1;3.006;5;18.0;1642807;21;01000	02020	00100	00000	00000	; ;
7;5;MCTS;2;3.007;12;11.0;301932;20;00000	22120	00100	00000	00000	; ;
7;6;MINIMAX_T;1;1.926;5;16.0;988175;19;01200	02120	00100	00000	00000	; ;
7;7;MCTS;2;1.934;9;11.0;76436;18;00200	02120	20100	00100	00000	; ;
7;8;MINIMAX_T;1;4.321;5;14.0;1089781;18;02200	02120	00100	00100	00000	; ;
7;9;MCTS;2;4.322;8;10.0;274678;17;02210	02120	00100	00100	00000	; ;
7;10;MINIMAX_T;1;1.499;5;12.0;502997;16;02210	02120	02100	00100	00000	; ;
7;11;MCTS;2;1.5;13;3.0;111339;15;02210	02120	02100	01100	00000	; ;
7;12;MINIMAX_T;1;0.383;5;10.0;266645;14;02210	02120	02100	21100	00000	; ;
7;13;MCTS;2;0.394;10;4.0;39861;13;02210	02120	02100	21100	00100	; ;
7;14;MINIMAX_T;1;0.174;5;8.0;106945;12;22210	02120	02100	21100	00100	; ;
7;15;MCTS;2;0.175;8;4.0;27086;11;22210	02121	02100	21100	00100	; ;
7;16;MINIMAX_T;1;0.032;5;6.0;29477;10;22210	02121	22100	21100	00100	; ;
7;17;MCTS;2;0.047;5;5.0;4852;9;22210	12121	22100	21100	00100	; ;
7;18;MINIMAX_T;1;0.019;5;4.0;8801;8;22210	12121	22100	21100	20100	; ;
7;19;MCTS;2;0.04;4;4.0;1048;7;22210	12121	22100	21101	20100	; ;
7;20;MINIMAX_T;1;0.002;5;2.0;1237;6;22210	12121	22100	21121	20100	; ;
7;21;MCTS;2;0.003;5;1.0;326;5;22210	12121	22101	21121	20100	; ;
7;22;MINIMAX_T;1;0.0;5;1.0;65;4;22210	12121	22101	21121	22100	; ;
7;23;MCTS;2;0.001;3;1.0;16;3;22211	12121	22101	21121	22100	; ;
7;24;MINIMAX_T;1;0.0;5;1.0;5;2;22211	12121	22101	21121	22120	; ;
7;25;MCTS;2;0.001;1;1.0;2;1;22211	12121	22111	21121	22120	;EMPATE;
8;1;MINIMAX_T;1;1.168;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
8;2;MCTS;2;1.172;12;14.0;80757;23;02000	00000	00100	00000	00000	; ;
8;3;MINIMAX_T;1;3.937;5;19.0;2091504;22;00000	02000	00110	00000	00000	; ;
8;4;MCTS;2;3.938;10;13.0;307715;22;00000	02010	00100	00000	00000	; ;
8;5;MINIMAX_T;1;6.479;5;17.0;2508788;21;00000	02010	00100	02000	00000	; ;
8;6;MCTS;2;6.543;10;11.0;459333;20;00000	02010	01100	02000	00000	; ;
8;7;MINIMAX_T;1;3.292;5;15.0;1475061;19;00000	02010	01100	22000	00000	; ;
8;8;MCTS;2;3.296;10;9.0;175840;18;00000	02010	01110	22000	00000	; ;
8;9;MINIMAX_T;1;1.323;5;13.0;785818;17;00000	02010	21110	22000	00000	; ;
8;10;MCTS;2;1.339;8;9.0;137270;16;00000	02010	21110	22100	00000	; ;
8;11;MINIMAX_T;1;0.526;5;11.0;339034;15;00000	22010	21110	22100	00000	; ;
8;12;MCTS;2;0.527;8;8.0;25904;14;10000	22010	21110	22100	00000	; ;
8;13;MINIMAX_T;1;0.219;5;9.0;171286;13;10200	22010	21110	22100	00000	; ;
8;14;MCTS;2;0.231;5;8.0;12286;12;10200	22010	21110	22100	10000	; ;
8;15;MINIMAX_T;1;0.102;5;7.0;64460;11;10220	22010	21110	22100	10000	; ;
8;16;MCTS;2;0.112;5;6.0;7462;10;10220	22010	21111	22100	10000	; ;
8;17;MINIMAX_T;1;0.032;5;5.0;18694;9;10220	22010	21111	22100	10020	; ;
8;18;MCTS;2;0.048;5;4.0;4027;8;10220	22110	21111	22100	10020	; ;
8;19;MINIMAX_T;1;0.0;5;3.0;3620;7;10222	22110	21111	22100	10020	; ;
8;20;MCTS;2;0.008;3;4.0;150;6;11222	22110	21111	22100	10020	; ;
8;21;MINIMAX_T;1;0.0;5;1.0;326;5;11222	22110	21111	22120	10020	; ;
8;22;MCTS;2;0.001;2;2.0;7;4;11222	22110	21111	22121	10020	; ;
8;23;MINIMAX_T;1;0.0;5;1.0;16;3;11222	22110	21111	22121	10022	; ;
8;24;MCTS;2;0.001;2;1.0;5;2;11222	22111	21111	22121	10022	; ;
8;25;MINIMAX_T;1;0.0;5;1.0;2;1;11222	22111	21111	22121	12022	;EMPATE;
9;1;MCTS;2;0.001;2;7.0;8;24;02000	00000	00000	00000	00000	; ;
9;2;MINIMAX_T;1;4.656;5;19.0;2629442;23;00200	00000	00000	00000	10000	; ;
9;3;MCTS;2;4.718;10;14.0;321795;22;00200	00000	00000	00100	20000	; ;
9;4;MINIMAX_T;1;7.33;5;18.0;3312401;22;20200	00000	00000	00100	00000	; ;
9;5;MCTS;2;7.344;8;14.0;493680;21;20200	00000	00000	00110	00000	; ;
9;6;MINIMAX_T;1;5.766;5;16.0;1782431;20;22200	00000	00000	00110	00000	; ;
9;7;MCTS;2;5.767;10;10.0;399561;19;22210	00000	00000	00110	00000	; ;
9;8;MINIMAX_T;1;3.014;5;14.0;1092957;18;22210	00000	00000	02110	00000	; ;
9;9;MCTS;2;3.015;10;8.0;201625;17;22210	00000	00010	02110	00000	; ;
9;10;MINIMAX_T;1;1.244;5;12.0;562661;16;22210	00020	00010	02110	00000	; ;
9;11;MCTS;2;1.25;8;8.0;123568;15;22210	00020	00110	02110	00000	; ;
9;12;MINIMAX_T;1;0.314;5;10.0;230453;14;22210	00020	02110	02110	00000	; ;
9;13;MCTS;2;0.315;10;4.0;36261;13;22210	01020	02110	02110	00000	; ;
9;14;MINIMAX_T;1;0.175;5;8.0;106945;12;22210	01020	02110	22110	00000	; ;
9;15;MCTS;2;0.176;8;4.0;32758;11;22210	01020	02110	22110	01000	; ;
9;16;MINIMAX_T;1;0.042;5;6.0;29477;10;22210	01020	22110	22110	01000	; ;
9;17;MCTS;2;0.048;5;5.0;4605;9;22210	11020	22110	22110	01000	; ;
9;18;MINIMAX_T;1;0.0;5;4.0;8801;8;22210	11022	22110	22110	01000	; ;
9;19;MCTS;2;0.015;4;4.0;347;7;22210	11022	22110	22110	01001	; ;
9;20;MINIMAX_T;1;0.0;5;2.0;1237;6;22212	11022	22110	22110	01001	; ;
9;21;MCTS;2;0.016;5;1.0;326;5;22212	11022	22110	22110	01101	; ;
9;22;MINIMAX_T;1;0.0;5;1.0;65;4;22212	11022	22110	22110	01121	; ;
9;23;MCTS;2;0.015;3;1.0;16;3;22212	11122	22110	22110	01121	; ;
